TIME_SYSTEM_ON, GAIT_PHASE, GAIT_SUBPHASE, ACTUATOR_POSITION, TORQUE_ESTIMATE, ACTUATOR_SETPOINT, LOADCELL, LINEAR_ACC_X_LOCAL, LINEAR_ACC_Y_LOCAL, LINEAR_ACC_Z_LOCAL, GRAVITY_VECTOR_X, GRAVITY_VECTOR_Y, GRAVITY_VECTOR_Z, KNEE_ANGLE
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.40452692, -0.95180619, -1.84375000, 0.02000000, 0.04000000, 0.01000000, -9.72999954, -1.08000004, -0.04000000, 34.46592712
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.49173889, -1.21358073, -2.67773438, 0.03000000, 0.00000000, 0.04000000, -9.72999954, -1.08000004, -0.04000000, 34.44763184
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.31726873, -1.73708701, -2.05123901, 0.01000000, -0.01000000, 0.04000000, -9.72999954, -1.08000004, -0.04000000, 34.48423767
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.31726873, -1.21358073, -1.60537720, 0.02000000, 0.00000000, 0.06000000, -9.72999954, -1.08000004, -0.04000000, 34.46226501
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.49173889, -0.95180619, -1.46667480, -0.03000000, 0.00000000, 0.04000000, -9.72999954, -1.08000004, -0.04000000, 34.42565918
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.57902902, -1.47521663, -2.57708740, 0.04000000, -0.01000000, 0.00000000, -9.72999954, -1.08000004, -0.04000000, 34.42932129
6727.00000000, 1.00000000, 3.00000000, 34.59477234, -0.57902902, -1.73708701, -2.10491943, 0.02000000, 0.01000000, 0.05000000, -9.72999954, -1.08000004, -0.04000000, 34.47326660
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.40452692, -1.47521663, -2.58831787, -0.03000000, -0.01000000, 0.06000000, -9.72999954, -1.08000004, -0.04000000, 34.46592712
6727.00000000, 1.00000000, 3.00000000, 34.52885437, -0.40452692, -0.95180619, -1.89898682, 0.00000000, -0.00000000, 0.03000000, -9.72999954, -1.08000004, -0.04000000, 34.44395447
6727.00000000, 1.00000000, 3.00000000, 34.55082703, -0.40452692, -1.73708701, -2.02609253, 0.02000000, -0.02000000, 0.02000000, -9.72999954, -1.08000004, -0.04000000, 34.46592712
