TIME_SYSTEM_ON, GAIT_PHASE, GAIT_SUBPHASE, ACTUATOR_POSITION, TORQUE_ESTIMATE, ACTUATOR_SETPOINT, LOADCELL, LINEAR_ACC_X_LOCAL, LINEAR_ACC_Y_LOCAL, LINEAR_ACC_Z_LOCAL, GRAVITY_VECTOR_X, GRAVITY_VECTOR_Y, GRAVITY_VECTOR_Z, KNEE_ANGLE
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.23002186, -0.95180619, 0.30465698, 0.86000001, 0.13000000, 0.63000000, -7.44999981, 4.82999992, 4.13000011, 30.28431702
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.31726873, -1.21358073, 1.48406982, 0.80000001, -0.04000000, 0.57999998, -7.26000023, 4.82000017, 4.46999979, 30.26600647
347.00000000, 1.00000000, 3.00000000, 30.28865051, -0.31726873, -1.21358073, 1.16152954, 0.58999997, -0.10000000, 0.08000000, -7.05000019, 4.80999994, 4.80000019, 30.22206116
347.00000000, 1.00000000, 3.00000000, 30.35455322, -0.23002186, -0.95180619, 0.25918579, 0.25000000, -0.18000001, 0.07000000, -6.84999990, 4.80999994, 5.07999992, 30.30627441
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.31726873, -0.95180619, 0.78100586, 0.22000000, -0.19000000, -0.03000000, -6.67000008, 4.82999992, 5.28999996, 30.26600647
347.00000000, 1.00000000, 3.00000000, 30.37652588, -0.05554960, -0.42834955, 0.87811279, 0.25000000, -0.16000000, -0.01000000, -6.53000021, 4.86999989, 5.42999983, 30.36486626
348.00000000, 1.00000000, 3.00000000, 30.28865051, -0.05554960, 0.35656247, 1.15237427, 0.38999999, -0.13000000, -0.02000000, -6.44000006, 4.92000008, 5.50000000, 30.27699089
348.00000000, 1.00000000, 3.00000000, 30.31062317, -0.23002186, 0.35656247, 1.59600830, 0.50000000, -0.18000001, 0.10000000, -6.38000011, 4.96000004, 5.51999998, 30.26234436
348.00000000, 1.00000000, 3.00000000, 30.31062317, 0.11885416, -0.42834955, 1.35385132, 0.50999999, -0.08000000, 0.06000000, -6.38999987, 5.00000000, 5.48000002, 30.33557129
348.00000000, 1.00000000, 3.00000000, 30.37652588, -0.14278319, -0.42834955, 1.95437622, 0.56999999, -0.03000000, 0.02000000, -6.44999981, 5.01999998, 5.40000010, 30.34655571
348.00000000, 1.00000000, 3.00000000, 30.35455322, 0.03168200, 0.09504599, 1.15319824, 0.37000000, -0.14000000, 0.12000000, -6.51999998, 5.01000023, 5.32000017, 30.36120415
348.00000000, 1.00000000, 3.00000000, 30.33259583, -0.05554960, -0.16664881, 1.09613037, 0.25999999, -0.14000000, 0.16000000, -6.57999992, 4.98000002, 5.26999998, 30.32093620
348.00000000, 1.00000000, 3.00000000, 30.39849854, 0.03168200, 0.09504599, 0.50891113, 0.30000001, -0.23000000, 0.30000001, -6.65000010, 4.92999983, 5.23000002, 30.40514946
348.00000000, 1.00000000, 3.00000000, 30.31062317, 0.20609112, 0.61827332, 1.26025391, 0.20000000, -0.16000000, 0.23000000, -6.76000023, 4.84999990, 5.15999985, 30.35387993
348.00000000, 1.00000000, 3.00000000, 30.31062317, 0.03168200, 0.09504599, 0.70553589, 0.25000000, -0.83999997, 0.03000000, -6.90999985, 4.76999998, 5.03999996, 30.31727409
348.00000000, 1.00000000, 3.00000000, 30.37652588, -0.05554960, 0.09504599, 0.77816772, 0.28999999, -0.40000001, -0.06000000, -7.09000015, 4.67000008, 4.88999987, 30.36486626
348.00000000, 1.00000000, 3.00000000, 30.42047119, 0.03168200, 0.61827332, 0.64114380, 0.05000000, -0.30000001, -0.23000000, -7.28000021, 4.57000017, 4.69999981, 30.42712212
